Length;Type;Sort type;Time;Comparisons;Swapped elements
1400;9;Quick;701;111708;3065
1400;10;Merge;1824;14752;0
1400;10;Heap;1045;29373;17393
1400;10;Insertion;8149;350435;349036
1400;10;Shell;233;11399;3542
1400;10;Quick;733;105625;2919
1600;1;Merge;2462;17152;0
1600;1;Heap;824;29820;14879
1600;1;Insertion;13572;629400;627809
1600;1;Shell;576;25097;16611
1600;1;Quick;366;14837;4519
1600;2;Merge;2098;17152;0
1600;2;Heap;647;29769;14817
1600;2;Insertion;13819;649370;647780
1600;2;Shell;556;25005;16546
1600;2;Quick;380;15337;4533
1600;3;Merge;1910;17152;0
1600;3;Heap;529;27744;12868
1600;3;Insertion;27896;1279185;1279056
1600;3;Shell;255;14617;6870
1600;3;Quick;6355;1226770;1664
1600;4;Merge;1976;17152;0
1600;4;Heap;618;27765;12878
1600;4;Insertion;28870;1279189;1279047
1600;4;Shell;255;14605;6858
1600;4;Quick;6327;1211902;1675
1600;5;Merge;2059;17152;0
1600;5;Heap;959;40587;27665
1600;5;Insertion;16;1599;0
1600;5;Shell;93;9057;0
1600;5;Quick;5972;1268565;1599
1600;6;Merge;1964;17152;0
1600;6;Heap;942;40599;27693
1600;6;Insertion;19;1599;0
1600;6;Shell;119;9057;0
1600;6;Quick;6287;1268632;1600
1600;7;Merge;1789;17152;0
1600;7;Heap;521;27996;12908
1600;7;Insertion;16806;834635;833763
1600;7;Shell;265;14350;6093
1600;7;Quick;837;138380;4142
1600;8;Merge;2216;17152;0
1600;8;Heap;686;28086;12907
1600;8;Insertion;18013;865956;865091
1600;8;Shell;307;14237;6004
1600;8;Quick;1116;177747;3848
1600;9;Merge;1984;17152;0
1600;9;Heap;841;34473;20412
1600;9;Insertion;9186;418602;417003
1600;9;Shell;219;12739;3682
1600;9;Quick;1050;172113;3316
1600;10;Merge;1942;17152;0
1600;10;Heap;693;34431;20337
1600;10;Insertion;10008;454563;452964
1600;10;Shell;206;13189;4132
1600;10;Quick;823;130957;3479
1800;1;Merge;2694;19552;0
1800;1;Heap;717;34072;16997
1800;1;Insertion;18120;812990;811201
1800;1;Shell;685;30217;20566
1800;1;Quick;446;17416;5080
1800;2;Merge;2411;19552;0
1800;2;Heap;722;34030;16947
1800;2;Insertion;18199;820981;819195
1800;2;Shell;752;30632;21016
1800;2;Quick;366;17553;5112
1800;3;Merge;2299;19552;0
1800;3;Heap;619;31906;14813
1800;3;Insertion;32636;1619082;1618922
1800;3;Shell;271;17878;9356
1800;3;Quick;7146;1538435;1885
1800;4;Merge;2405;19552;0
1800;4;Heap;634;31920;14823
1800;4;Insertion;36624;1619085;1618924
1800;4;Shell;323;17874;9352
1800;4;Quick;7975;1545647;1875
1800;5;Merge;2511;19552;0
1800;5;Heap;1127;46548;31703
1800;5;Insertion;18;1799;0
1800;5;Shell;103;10257;0
1800;5;Quick;8161;1606480;1799
1800;6;Merge;2236;19552;0
1800;6;Heap;1087;46518;31704
1800;6;Insertion;18;1799;0
1800;6;Shell;105;10257;0
1800;6;Quick;8002;1608480;1800
1800;7;Merge;2366;19552;0
1800;7;Heap;819;32006;14748
1800;7;Insertion;23976;1064028;1063043
1800;7;Shell;298;16712;7446
1800;7;Quick;1343;187383;4548
1800;8;Merge;2424;19552;0
1800;8;Heap;729;32046;14772
1800;8;Insertion;23857;1066769;1065796
1800;8;Shell;298;16760;7490
1800;8;Quick;1144;184035;4555
1800;9;Merge;2521;19552;0
1800;9;Heap;787;39585;23399
1800;9;Insertion;13486;563575;561776
1800;9;Shell;238;14986;4729
1800;9;Quick;1116;178006;3935
1800;10;Merge;2353;19552;0
1800;10;Heap;923;39565;23378
1800;10;Insertion;12526;567204;565405
1800;10;Shell;237;15029;4772
1800;10;Quick;1082;177602;3858
2000;1;Merge;2979;21952;0
2000;1;Heap;810;38496;19214
2000;1;Insertion;22207;988537;986545
2000;1;Shell;759;32717;21922
2000;1;Quick;411;20958;5749
2000;2;Merge;2673;21952;0
2000;2;Heap;822;38425;19136
2000;2;Insertion;22623;1022086;1020093
2000;2;Shell;810;32428;21630
2000;2;Quick;404;20388;5818
2000;3;Merge;2545;21952;0
2000;3;Heap;705;35990;16738
2000;3;Insertion;42601;1998983;1998792
2000;3;Shell;348;18829;9095
2000;3;Quick;8541;1875468;2102
2000;4;Merge;2377;21952;0
2000;4;Heap;805;35971;16712
2000;4;Insertion;43403;1998986;1998824
2000;4;Shell;362;18843;9109
2000;4;Quick;9581;1901096;2082
2000;5;Merge;2323;21952;0
2000;5;Heap;1091;52542;35759
2000;5;Insertion;17;1999;0
2000;5;Shell;126;11457;0
2000;5;Quick;8893;1981187;2000
2000;6;Merge;2497;21952;0
2000;6;Heap;947;52546;35755
2000;6;Insertion;18;1999;0
2000;6;Shell;104;11457;0
2000;6;Quick;9281;1979864;2000
2000;7;Merge;2356;21952;0
2000;7;Heap;818;36154;16718
2000;7;Insertion;27793;1301064;1299997
2000;7;Shell;327;18540;8173
2000;7;Quick;1322;212660;5252
2000;8;Merge;2597;21952;0
2000;8;Heap;720;36337;16733
2000;8;Insertion;30224;1348940;1347856
2000;8;Shell;326;18530;8175
2000;8;Quick;1826;271607;4995
2000;9;Merge;2648;21952;0
2000;9;Heap;884;44713;26454
2000;9;Insertion;14190;648965;646966
2000;9;Shell;320;16540;5083
2000;9;Quick;1597;277381;4151
2000;10;Merge;2722;21952;0
2000;10;Heap;1019;44722;26433
2000;10;Insertion;14408;654581;652582
2000;10;Shell;259;16641;5184
2000;10;Quick;1543;262559;4195
2200;1;Merge;3138;24504;0
2200;1;Heap;1150;42895;21408
2200;1;Insertion;27240;1225568;1223378
2200;1;Shell;893;38824;26880
2200;1;Quick;453;21177;6490
2200;2;Merge;2894;24504;0
2200;2;Heap;1027;42967;21456
2200;2;Insertion;27138;1195201;1193006
2200;2;Shell;966;38748;26779
2200;2;Quick;502;20453;6473
2200;3;Merge;2770;24504;0
2200;3;Heap;762;40217;18680
2200;3;Insertion;51198;2418879;2418686
2200;3;Shell;486;24499;13942
2200;3;Quick;11954;2278564;2309
2200;4;Merge;3190;24504;0
2200;4;Heap;883;40231;18687
2200;4;Insertion;54556;2418892;2418706
2200;4;Shell;449;24523;13966
2200;4;Quick;11826;2301122;2308
2200;5;Merge;3662;24504;0
2200;5;Heap;1587;58912;40096
2200;5;Insertion;21;2199;0
2200;5;Shell;126;12657;0
2200;5;Quick;11290;2397905;2202
2200;6;Merge;2662;24504;0
2200;6;Heap;1073;58888;40108
2200;6;Insertion;25;2199;0
2200;6;Shell;149;12657;0
2200;6;Quick;11383;2400552;2199
2200;7;Merge;2638;24504;0
2200;7;Heap;699;40582;18708
2200;7;Insertion;32945;1624331;1623123
2200;7;Shell;387;22139;10530
2200;7;Quick;1617;320610;5498
2200;8;Merge;2531;24504;0
2200;8;Heap;706;40468;18717
2200;8;Insertion;33145;1592235;1591034
2200;8;Shell;333;22002;10380
2200;8;Quick;1520;280066;5549
2200;9;Merge;2578;24504;0
2200;9;Heap;914;50025;29640
2200;9;Insertion;16305;787785;785586
2200;9;Shell;308;18283;5626
2200;9;Quick;2042;331899;4605
2200;10;Merge;2878;24504;0
2200;10;Heap;1168;49731;29420
2200;10;Insertion;17999;846300;844101
2200;10;Shell;300;18970;6313
2200;10;Quick;1650;250900;4771
2400;1;Merge;4337;27104;0
2400;1;Heap;981;47466;23654
2400;1;Insertion;32926;1453413;1451019
2400;1;Shell;995;40862;27749
2400;1;Quick;549;24895;7101
2400;2;Merge;3180;27104;0
2400;2;Heap;1141;47412;23607
2400;2;Insertion;33339;1459086;1456693
2400;2;Shell;921;40502;27388
2400;2;Quick;623;26459;6926
2400;3;Merge;3186;27104;0
2400;3;Heap;852;44545;20699
2400;3;Insertion;66219;2878783;2878574
2400;3;Shell;521;26099;14435
2400;3;Quick;14391;2744843;2511
2400;4;Merge;3501;27104;0
2400;4;Heap;985;44536;20697
2400;4;Insertion;64515;2878776;2878552
2400;4;Shell;482;26095;14431
2400;4;Quick;13960;2718652;2514
2400;5;Merge;3285;27104;0
2400;5;Heap;1346;65455;44516
2400;5;Insertion;29;2399;0
2400;5;Shell;175;13857;0
2400;5;Quick;13617;2851662;2400
2400;6;Merge;3253;27104;0
2400;6;Heap;1403;65462;44504
2400;6;Insertion;27;2399;0
2400;6;Shell;138;13857;0
2400;6;Quick;13640;2857324;2401
2400;7;Merge;3445;27104;0
2400;7;Heap;900;44770;20713
2400;7;Insertion;42356;1887480;1886179
2400;7;Shell;395;23936;11303
2400;7;Quick;1701;307865;6289
2400;8;Merge;2890;27104;0
2400;8;Heap;882;44906;20743
2400;8;Insertion;43144;1928246;1926924
2400;8;Shell;538;24050;11424
2400;8;Quick;2319;380904;6049
2400;9;Merge;3161;27104;0
2400;9;Heap;1201;55225;32702
2400;9;Insertion;21712;1000138;997739
2400;9;Shell;419;20865;7008
2400;9;Quick;2021;310124;5224
2400;10;Merge;3171;27104;0
2400;10;Heap;1229;55096;32592
2400;10;Insertion;22448;1024245;1021846
2400;10;Shell;424;20978;7121
2400;10;Quick;1766;290476;5356
